T01	3m20cm-3m10cm-□mm=5mm	□kg=95000g
80	□mg+70mg=503mg	352時間+420時間-14日3時間=□時間
81	□mg+100mg+200mg=516mg	334m-□m-78m=40m
82	182秒-□秒=24秒	2時間+□分+240分=518分
83	536cm-1m72cm-□cm=160cm	8m+200m-4m=□m
84	3m42cm-90cm-□cm=560mm	□g+59g379mg=255g379mg
85	□秒+96秒+235秒=10分10秒	567時間-96時間-8日=□時間
86	140時間-□時間-60時間=18時間	3日4時間34分-576分-□時間=4時間58分
87	578kg580g-□kg-185kg460g=168kg120g	6分33秒-□秒=2分48秒
88	596分-1時間35分-4時間=□分	261kg=□kg
89	605日-152日-□日=165日	522日10時間32分-149日5時間52分-85日4時間40分=□日
90	11kg1g620mg-□kg=1kg1g620mg	0kg+100g+□g=110g
91	15g300mg+□g=635g300mg	□秒+264秒+480秒=22分44秒
92	60秒+120秒+□秒=234秒	□cm+10cm3mm=643mm
93	□kg+147kg670g=333kg670g	100g+□g+100g=386g
94	264日+73日+□日=682日	30mm+5cm1mm+□mm=426mm
95	98m+□m+115m=328m	□kg+85kg380g+13kg690g=214kg70g
96	140cm+2m50cm+□cm=692cm	□m=302m
97	240日+□日+96日=698日	1m72cm4mm-362mm-□mm=1m
98	436km=□km	269m10cm+□m=705m10cm
99	14日9時間15分+10日3時間58分11秒-6日13分11秒=□時間	709分-□分-240分=24分
100	50mg+127mg+□mg=305mg	1m+1m-720mm=□cm
101	□時間=15日8時間	728分-□分=360分
102	□秒+240秒=547秒	22kg471g113mg+335kg258g-□kg=50kg729g113mg
103	730km-□km=182km	615日12時間-□日-32日12時間=35日
104	162km364m4cm+580km734m90cm-361km98m94cm=□km	360日+24日-2日=□日
105	367km340m+308km184m-110km524m=□km	1kg+310g-□g=745g
106	300mg+□mg+200mg=750mg	86mg+□mg+100mg=436mg
107	408kg380g750mg-□kg=157kg380g750mg	220kg+100kg-69kg=□kg
108	□時間+2日9時間9分=28日20時間9分	□mm+1cm9mm+100mm=754mm
109	1kg790g-810g-□g=46g	8m10cm+□cm=17m44cm
110	276km-100km-36km=□km	815mm+1m-415mm=□cm
111	□日+124750200秒=8403日20時間50分	□g+831mg=29g831mg
112	359220mg+104g717mg+□mg=848937mg	□時間+13日18時間+5日=835時間
113	□kg+290kg=836kg	□km=546km
114	10g+100g-□g=81g	2日4時間12分-840分-552分=□時間
115	654kg217g+179kg800g-□kg=405kg17g	844km739m90cm-256km367m90cm-□km=159km372m
116	208kg848g264mg+□kg=624kg848g264mg	□時間=17日8時間
117	1m31cm-□cm-20cm=40cm	32km866m50cm+□km=103km866m50cm
118	190秒-60秒-1分=□秒	128kg68g-49kg200g-8kg868g=□kg
119	466km551m-□km=27km551m	869kg-□kg-230kg=200kg
120	10分12秒-3分12秒-2分=□分	3km658m+3km874m-□km=2km532m
121	□時間+3日13時間45分=7日20時間45分	□km+84km893m+14km480m=202km373m
122	144g900mg-□g=3g900mg	246kg-□kg-20kg=85kg
123	128km929m79cm+54km245m74cm-4km175m53cm=□km	327mg-□mg=148mg
124	14時間30分-2時間-□分=224分	934m54cm4mm-□m=408m54cm4mm
125	961分=□分	76日3時間12分-□時間-31日1時間12分=5日1時間
126	1m+18cm2mm-□mm=966mm	326kg-□kg=110kg
127	159km970m+210km910m+□km=631km880m	64日18時間54分+89日4時間51分+□日=414日23時間45分
128	981g-□g-200g=290g	30日12時間36分-□時間-648分=9日14時間48分
129	□g+181g=437g	230km515m90cm+118km475m-92km990m90cm=□km
130	3時間30分+□時間=8時間30分	0mg+1g-995mg=□mg
131	□kg+1000mg+0g=1000mg	□g=0mg
132	□日+386日=934日	□g+1000g=1kg548g
133	0mm+1000mm-□km=1m	0kg+□kg+0mg=0g
134	1000m+□m+70m=1km301m	100m+□m+230m=561m
135	232km-□km=10km	1g292mg-70mg-□mg=1000mg
136	1000kg+71kg-□kg=933kg	□日+48日+120日=306日
137	□mg+1000mg+1g=2g869mg	1g+660mg-791mg=□mg
138	1000mg+□mg+1000mg=2g155mg	4分+120秒-□秒=3分25秒
139	□cm+1000mm+200mm=1m45cm	100kg+100kg-175kg=□kg
140	3日20時間+3日20時間-3日7時間=□時間	□cm+1000mm+340mm=2m39cm
141	1000kg+49kg-□kg=770kg	□日+169日14時間25分=448日14時間25分
142	219km4m52cm-□km=97km4m52cm	3m22cm-□cm-1000mm=1000mm
143	100g+□g+1000g=1kg156g	37kg402g744mg+40kg594g200mg-□kg=21kg996g944mg
144	□日+15日=105日	10m+100cm-1010cm=□cm
145	5km+□km+1000km=1011km	12時間48分-4時間-□時間=168分
146	1000kg+0g-□kg=988kg	1012cm-10m-□cm=0m
147	10mg+□mg+1g=1014mg	9時間12分-192分-□時間=2時間
148	1014分-□分=480分	□時間+20日19時間5分12秒=43日1時間5分12秒
149	1000kg+20kg+□kg=1051kg	38分+19分-□分=26分
150	□km+100km=168km	1068mm-□mm=1000mm
151	148kg-□kg=100kg	1088km-40km-1000km=□km
152	1128秒-□分-6分48秒=300秒	1020秒-6分-□分=240秒
153	10kg+□kg+1000kg=1145kg	□kg+100kg=235kg
154	1151mg-□mg=400mg	791mg+240mg-280mg=□mg
155	1160kg670g-□kg=428kg670g	□cm+4m+4m=15m32cm
156	62日17時間38分-□時間-22日2時間56分=14日2時間42分	360km+□km+183km=1179km
157	210g-□g=66g	□cm+41cm+10m=1185cm
158	400mm+48cm+□mm=1m67cm3mm	□秒+6分48秒=1201秒
159	1205g+510g-□g=836g	1kg+1kg-1kg121g=□g
160	2分24秒=□秒	□km+72km+1000km=1216km
161	□秒+408秒=1236秒	15日20時間25分+□時間=50日8時間25分
162	1266kg210g-□kg=608kg210g	400mg+110mg+□mg=1g168mg
163	777mg-300mg-200mg=□mg	1277kg-□kg=1000kg
164	108km685m+1179km577m34cm-300km262m34cm=□km	1289kg487g300mg-□kg=301kg487g300mg
165	100cm+1000cm+□cm=1302cm	80mm+302mm-18cm=□mm
166	□kg+459kg+220kg=1145kg	1306時間-480時間-□時間=15日
167	1310kg-1000kg-□kg=150kg	1243km-□km-83km=1000km
168	201g+138g+□g=571g	□mm+1m+9cm=1322mm
169	□分+3時間57分12秒+2時間34分48秒=11時間58分	1326kg-□kg=1000kg
170	152km+□km+1000km=1340km	79km80m+□km+58km820m=325km900m
171	2g238mg-□mg-1000mg=1g	1g+106mg+□mg=1344mg
172	□日+120日+26日=222日	1360mm-□cm=60cm
173	72時間+□時間+120時間=419時間	□km+1000km+142km=1369km
174	437m+213m-273m=□m	1000kg+□kg=1377kg
175	□kg+170kg=398kg	□g+1000g+197g=1425g
176	600mm+6m4cm-□cm=2m79cm	1445kg-1000kg-60kg=□kg
177	1470m-□km=470m	1g3mg-□mg-1000mg=2mg
178	960m90cm-323m90cm-□m=165m	1472kg-□kg=1000kg
179	677kg600g-□kg=298kg600g	□mg+100mg+1000mg=1479mg
180	1481mm-1m-□mm=137mm	564mg-□mg=220mg
181	4分+□秒+2分=12分41秒	1486cm-10m-85cm=□cm
182	25日+□時間=57日21時間	1488秒-□秒=699秒
183	275g+400g-□g=287g	□kg+1000kg+100kg=1488kg
184	518時間+240時間-□時間=176時間	1527kg-□kg-345kg=600kg
185	1528kg-□kg=1000kg	410g+1kg+□g=1kg938g
186	0kg+1000g+□g=1kg6g	1570mm+□m+2m6cm=9m63cm
187	1258kg-□kg-400kg=300kg	480分+8時間53分+□分=1571分
188	1578mg-□mg=1000mg	□m+196m=774m
189	530mg+1000mg+□mg=2g256mg	1612日-240日-646日=□日
190	1664km487m29cm-598km138m-□km=381km349m29cm	□m+421m70cm=1km106m70cm
191	1695日-□日-600日=480日	5時間+8時間9分+□分=23時間24分
192	□mg+20mg+1g=1056mg	37km700m-□km=1700m
193	902g=□g	1742日-□日=840日
194	1km127m10cm-□m=132m10cm	□cm+8m58cm=1853cm
195	□日=1872時間	9日10時間-5日-□時間=1日4時間
196	503分+□日+1923分=3日16時間26分	□日+1日=72時間
197	1958km-1000km-500km=□km	1g+340mg-882mg=□mg
198	1000mm+□cm+2000mm=6m69cm	12時間9分-□分=360分
199	2000mm+3m-1250mm=□cm	170mm+421mm-□mm=21cm6mm
200	314日10時間-44日10時間-□日=2040時間	229m90cm-□m=44m90cm
201	2044g-1kg-1000g=□g	35分12秒+600秒-□分=72秒
202	53日22時間+1020時間-□日=17日10時間	□mg+1000mg+1g=2079mg
203	69m+100m-□m=55m	□cm+17cm+770mm=2080mm
204	2097g-1000g-1kg=□g	37日+□日+120日=254日
205	2171kg-□kg-840kg=431kg	15日+19日12時間+□時間=72日
206	2246mg-1g-□mg=1g	□g+110g=356g
207	6m24cm7mm-75cm-1m86cm7mm=□cm	10m+□cm+1000cm=2363cm
208	500mm+1000mm+□cm=2420mm	100mg+□mg=192mg
209	□秒+480秒+480秒=1439秒	2479mm-□mm-1m=1000mm
210	1日20時間+2532分-□日=1日14時間12分	700m+3km-1700m=□km
211	2555m-□m-1000m=1000m	□g+300g+140g=995g
212	22時間+□時間=2日2時間	2620秒-3分40秒-□分=720秒
213	2800kg-□kg-1000kg=1000kg	1424秒-□秒-144秒=8分
214	2818kg-1000kg-□kg=1000kg	1000km+□km=1818km
215	4日12時間-□時間=48時間	3000時間-1260時間-□日=300時間
216	□cm+3000mm=6m25cm	795kg188g-□kg-227kg413g200mg=242kg774g800mg
217	1100g+□kg=3100g	10mm+10mm-□cm=0mm
218	75kg763g+12kg283g100mg-□kg=19kg46g100mg	□m+3100cm+2800cm=128m
219	3276秒+58分-1536秒=□分	100g+100g-113g=□g
220	130m74cm-3281cm-1693cm=□m	53mg+□mg=134mg
221	□分+3480秒+2472秒=2時間37分12秒	530mm+□m+16m90cm=75m43cm
222	789kg-150kg-49kg=□kg	100mm+□cm+128mm=818mm
223	9km540m-4km-□km=1540m	□cm+4300mm+8400mm=22300mm
224	45kg650g950mg-□kg=5kg650g950mg	16g721mg+27g-□g=3721mg
225	694cm-□cm-1m=100cm	8m96cm-2cm-□cm=4000mm
226	948mg-□mg=300mg	280m41cm+410m-□m=4241cm
227	676km618m22cm-209km860m-231km758m22cm=□km	□cm+1940mm=4290mm
228	6時間4分44秒-4304秒-600秒=□分	35分+8時間43分-□分=275分
229	80kg101g686mg+□kg=423kg101g686mg	1m+□cm=4430mm
230	2m58cm-53cm-1m=□cm	4439秒+53分+□分=3時間51分59秒
231	12日18時間-3日7時間-4560分=□時間	1000g+90g-939g=□g
232	200kg+213kg-205kg=□kg	□cm+1m86cm+1m=4940mm
233	□時間+120時間=27日7時間	5000mm+□cm=10m35cm
234	1kg+117g-450g=□g	16m67cm-□cm-5000mm=5000mm
235	197km761m+69km528m50cm-89km289m50cm=□km	5000g+260kg44g-□kg=87kg44g
236	555g420mg+627g600mg-551g20mg=□g	□cm+5080mm+1270mm=12m67cm
237	□cm+2m10cm+1374mm=5774mm	□日=230日
238	6日11時間26分48秒-2日9時間50分-□時間=5808秒	3時間36分-□分-1時間=1時間
239	594g=□g	6000mm+□cm=11m94cm
240	6kg600g+7kg700g-□kg=6300g	2時間8分-□分-0分=2時間
241	2m66cm+□cm+6300mm=15m67cm	76cm2mm-□mm=91mm
242	2000mm+2010mm-□cm=1850mm	14日21時間18分-2100分-6378分=□時間
243	41kg19g-□kg-5kg530g=6489g	27mg+□mg=56mg
244	30m+40m-□m=5m	6500cm=□m
245	1740分+6768分+□時間=17日16時間48分	□g+100g+70g=453g
246	162kg57g142mg-20kg947g-55kg110g142mg=□kg	169g346mg-6800mg-□g=76g546mg
247	2472日18時間+□時間=6861日11時間	198km499m10cm-□m=93km170m10cm
248	530日+385日-□日=6984時間	240時間+480時間-□時間=4日
249	205km830m-31km820m-7010m=□km	311kg629g+18kg269g561mg-162kg898g561mg=□kg
250	3240時間+□日+35日=7344時間	□m+6033cm=196m33cm
251	□分+2640秒+6分48秒=7608秒	132g-34g-□g=22g
252	□kg+19kg+100kg=179kg	7812分-□時間-1920分=1日14時間12分
253	8kg894g-□g-1366g=3kg	140日+□時間=7888時間
254	294kg-100kg-□kg=100kg	□m+7900cm=173m
255	8080mm-□cm-3100mm=1000mm	1498mg-100mg-1000mg=□mg
256	2600mm+□cm+1m9cm=8170mm	200kg+1000kg-□kg=752kg
257	8633cm+317m-□m=5933cm	□m+300m10cm+2190cm=666m
258	□m+9000cm=247m	200g+1kg-1043g=□g
259	□cm+52cm7mm=1187mm	9048秒-30分-□分=54分48秒
260	120g+□g=324g	3093時間+67日12時間+□日=9609時間
261	9900cm-□m=13m	8kg+1000kg+□kg=1094kg
262	1488時間+□日+40日=245日	1日2時間+□時間=10140分
263	10224秒-□時間=50分24秒	48時間=□日
264	2日28分+832分-560分=□時間	115kg184g-51kg898g-10286g=□kg
265	52kg807g218mg+□kg=150kg807g218mg	32分24秒+□分+41分12秒=10296秒
266	6日21時間57分+□時間+10440分=22日2時間57分	6分11秒-60秒-120秒=□秒
267	1200秒-480秒-□分=5分	2km260m+1185m+□km=10445m
268	10540g-□kg-3000g=1kg540g	1100mm-1000mm-□cm=40mm
269	□g+171g+1000g=1kg831g	10900mm-3500mm-800mm=□cm
270	10997cm-1997cm-□m=4500cm	18m+□m+16m60cm=79m60cm
271	230m+2100cm+□m=941m	1m+11100mm-□cm=5200mm
272	1440時間+□日+11160時間=986日	1g+300mg-839mg=□mg
273	1000g+30g+□g=1077g	□km+11170m=58km170m
274	1000kg+1000kg+□kg=2024kg	11242m+7km700m+□km=42km942m
275	185日+911日-11280時間=□日	7909mm-□cm-549mm=1m10cm
276	□m+20m=11300cm	□km+30km+1000km=1123km
277	61g367mg+11300mg-21g667mg=□g	2mm+32cm+□cm=832mm
278	9084時間-122日12時間-1872時間=□日	2220秒+11321秒-47分41秒=□分
279	11388分-□時間-2日18時間=2日4時間48分	130km875m-1km800m-□km=58km75m
280	11分30秒=□秒	□日+11700時間+202日12時間=1380日
281	3500cm+3200cm+□m=12200cm	□cm+501mm=1m5cm1mm
282	6972時間+931日12時間-13152時間=□日	986日-□日=312日
283	13153時間-□日-480時間=3385時間	587m-□m=200m
284	404kg-□kg=200kg	13200秒+1時間32分-□分=1時間48分
285	□時間+1日7時間48分+3日11時間57分7秒=12日13時間45分7秒	1560秒+13200秒-□分=1時間
286	26日14時間50分-□時間-360分=13670分	1g88mg-283mg-□mg=400mg
287	□時間+1日=2880分	13890g+□kg+18kg500g=56kg390g
288	13992時間-□日-3840時間=1920時間	7日+□時間+240時間=31日7時間
289	□日=14016時間	1km251m-427m-240m=□m
290	5340mm-□cm-1280mm=300mm	14072時間-□日=5048時間
291	2g910mg-1g-1000mg=□mg	365mm+□cm+4m80cm=14265mm
292	180分+2時間11分-2時間20分=□分	14440mg+□g=185g440mg
293	62日12時間+14744時間-229日20時間=□日	867分-□分=7時間
294	165日4時間-□日-38日=56日4時間	1100cm+6755cm+□m=14955cm
295	15278分-□時間=1日38分	200mm+1000mm-970mm=□mm
296	10619時間+12日+□日=1076日11時間	480時間+□日+7日12時間=15588時間
297	4968時間+47日12時間+□日=16596時間	1837mg-1000mg-□mg=400mg
298	13706kg+16824kg-14706kg=□kg	□mg=15824mg
299	76m40cm+17200cm-12140cm=□m	66g+□g+50g=243g
300	13時間36分-□分-17280秒=3時間1分	599秒-3分-□秒=72秒
301	1時間48分46秒+□分+44分48秒=17434秒	60m+100m-□m=23m
302	182kg-□kg=100kg	109g523mg-9g523mg-18000mg=□g
303	4分+□秒+3分29秒=11分1秒	561m80cm-18000cm-16980cm=□m
304	□分+384分+360分=1213分	□分+5時間30分+18051秒=18時間19分51秒
305	□時間=6日5時間	384秒+2時間27分58秒+□分=18202秒
306	□km+17800m+18520m=66km320m	□分+26分+518秒=1時間4分38秒
307	40時間+115時間+□時間=19日19時間	18840分+10日12時間-10日6時間=□時間
308	20000cm+290m-13100cm=□m	300kg+224kg-□kg=165kg
309	1000g+100g+□g=1364g	20230cm+163m19cm+□m=629m49cm
310	21303時間-259日9時間-□日=4038時間	□日+360日6時間36分49秒=820日6時間36分49秒
311	□時間+22200分=45日22時間	137g+368g+□g=1237g
312	47km810m+411km600m-22410m=□km	737kg+100kg-□kg=400kg
313	□m+10000cm+2210cm=22810cm	48秒+□秒+6秒=2分40秒
314	2162時間+□日+407日=22898時間	□時間+15日+5日=39日1時間
315	1392時間+10500時間+□日=22908時間	□g+300g=759g
316	73kg-□kg=23000g	□mg+100mg=150mg
317	28kg267g-4kg267g-5kg=□kg	23100m+11km740m-15840m=□km
318	23940秒-□分=3時間16分	275時間+48時間-□時間=5日
319	24744分-1704分-□時間=9300分	1m20cm+□cm+2m26cm=5m75cm
320	2kg309g-□g-1kg=500g	526m52cm+24958cm+□m=1km585m10cm
321	480日+323日-133日=□日	2580時間+□日+6336時間=24996時間
322	34g-□g=10g	25416分+9224分-1時間20分=□日
323	39日6時間55分36秒-□日=11日6時間55分36秒	63g199mg-□g-25600mg=9g599mg
324	27日17時間29分+25800分+□日=134日15時間29分	214kg-25kg-100kg=□kg
325	□g+200g=704g	25992時間-155日-424日=□日
326	26460分+6日-15360分=□時間	574日-□日=5880時間
327	28kg240g-7kg240g-10kg=□kg	26935g-8304g-7kg631g=□kg
328	9日6時間8分+□時間=27128分	18672秒-□分=1時間21分12秒
329	1128秒+28920秒-□分=14628秒	□日+97日4時間19分=354日4時間19分
330	16980分-□時間-5760分=2日10時間	29009cm-□m-13000cm=3109cm
331	□kg+1000kg+133kg=1425kg	□m=29200cm
332	□kg+30000g=78kg	1g98mg-□mg-50mg=1g
333	29分55秒+3時間21分5秒+□分=30480秒	493kg823g-10kg200g-□g=206kg623g
334	11098mg-□g-2g318mg=780mg	□cm+1301mm+2m45cm=8m55cm1mm
335	5km274m16cm+31000cm+□m=14km33m16cm	260kg+5510kg+□kg=14219kg
336	444g300mg-31100mg-206g200mg=□g	1kg327g-1000g-□g=120g
337	□日+4日3時間55分+7日11時間=31135分	□kg+4kg200g=14200g
338	352g-□g-100g=100g	31669cm-□m-8269cm=8200cm
339	31680秒-□分-3時間4分=5640秒	□g+215g200mg=465g200mg
340	148mm+10cm+□cm=50cm8mm	□kg+4kg400g+1336g=31736g
341	1m+11m+□m=28m	□kg+3kg887g+12kg=31887g
342	1日5分3秒-32040秒-18363秒=□分	263日+504日-□日=162日
343	33000mg=□g	18079分+15240分+□日=56日3時間19分
344	22時間24分+11時間56分-□時間=33600秒	20m+□m+20m=65m
345	11820cm+33900cm-□m=198m20cm	7440秒+□分+11063秒=34043秒
346	120日+120日+□日=353日	5日32分53秒+35160秒-□時間=17時間18分53秒
347	□km+200km+1000km=1309km	74km670m+35200m-870m=□km
348	1時間3分48秒-1128秒-20分=□分	36400g-10kg-□kg=1400g
349	210日-60日-□日=120日	7g+□g=37000mg
350	37511分-3日14時間-12791分=□時間	□mg+270mg+200mg=796mg
351	39000cm+440m94cm+□m=1km344m94cm	1636kg-□kg-1000kg=122kg
352	428g-□g=120g	6960分+9日12時間+□時間=39120分
353	40056秒-3時間23分36秒-6分=□分	303g+397g-□g=242g
354	78g-20g-□g=30g	□日=40320分
355	5400mm+6m-□cm=2770mm	42000mg+□g+16g900mg=921g900mg
356	380g680mg-42680mg-166g=□g	194kg400g+18kg270g-40kg670g=□kg
357	405g+43400mg-175g400mg=□g	2分+□秒=6分33秒
358	□g+15g732mg=77g732mg	29日12時間48分+43461分+□日=121日17時間9分
359	44136秒-18504秒-1時間7分12秒=□分	□kg+210kg+100kg=670kg
360	9590g+□kg=44590g	135g-100g-□g=0g
361	329g949mg-□g=44949mg	180日+381日-276日=□日
362	35727mg+17000mg-14727mg=□g	45946mg+3530mg-11476mg=□g
363	1104時間+10224時間-□日=84日	388日12時間47分-□日=46020秒
364	2日7時間58分24秒-10時間30分24秒-□時間=12時間28分	47520分=□日
365	5m55cm-□cm=2000mm	47920cm-□m=124m20cm
366	125日12時間53分-14時間5分-48888分=□日	100g+1kg+□g=1kg191g
367	16m+□m=49500cm	□kg+277kg+470kg=1226kg
